alimento_id,alimento,Carbohidratos,Energía,Lípidos,Proteína,Sodio
04_B_0006,"Gorditas de divisadero",,,,,
04_B_0007,Mekwasare,,,,,
04_B_0008,"Muni recomoli",,,,,
04_B_0009,"Orejones de durazno",,,,,
04_B_0010,Pinole,,,,,
04_B_0011,Pipian,,,,,
04_B_0012,"Pipian 2",,,,,
04_B_0013,"Ruedas de calabaza",,,,,
04_B_0014,"Salsa de orégano",,,,,
04_B_0015,Tesguino,,,,,
04_B_0016,Queso,,,,,
04_B_0017,"Queso 2",,,,,
04_B_0018,Tortillas,,,,,
04_B_0019,"Tortillas blancas",,,,,
04_B_0020,"Tortillas de trigo",,,,,
04_B_0021,Tónari,,,,,
04_B_0022,"Sangre cocida",,,,,
04_B_0023,"Quelites con frijoles",,,,,
04_B_0024,"Guisado de verdolagas",,,,,
04_B_0025,"Salsa de chiltepín",,,,,
04_B_0026,Munipozole,,,,,
04_B_0027,"Quelites guisados",,,,,
04_B_0028,"Chile pasado y carne",,,,,
04_B_0029,"Rochiwuare guisado",,,,,
04_B_0030,"Pipian con quelites",,,,,
04_B_0031,"Guiso de hongos",,,,,
04_B_0032,"Dulce de calabaza",,,,,
04_B_0033,"Pay de manzana",,,,,
04_B_0034,Tamales,,,,,
04_B_0035,"Pan de tesguino",,,,,
04_C_0001,Aceite,,,,,
04_C_0002,Levadura,,,,,
04_C_0003,Mantequilla,,,,,
05_A_0001,Chilacayota,"2.7 g","14 kcal","0.2 g","1.2 g",
05_A_0002,Agua,,,,,
05_A_0003,Piña,"12.4 g","49 kcal","0.5 g","0.4 g",
05_A_0004,Arroz,"78.8 g","354 kcal","1 g","7.4 g",
05_A_0005,Nuez,"26 g","610 kcal","53 g","18 g",
