alimento_id,alimento,Carbohidratos,Energía,Lípidos,Proteína,Sodio
5120,"Jugo de manzana, industrializado",9.57,38.23,0,0.01,
5122,"Jugo de naranja, industrializado",11.45,47.17,0.03,0.29,
5123,"Jugo de naranja, natural",11,38,0.55,0.3,
5124,"Jugo de noni, natural",4.03,17.94,0.2,0.53,
5127,"Jugo de tomate con almeja (clamato), industrializado",4.68,21.2,0.09,0.44,
5128,"Jugo de tomate, industrializado",4.73,20.55,0,0.4,
5130,"Jugo de toronja, industrializado",12.4,52.15,0.08,0.45,
5131,"Jugo de toronja, natural",9.2,39,0.1,0.5,
5132,"Jugo de uva, industrializado",13.39,54.42,0,0.07,
5133,"Jugo de verduras, industrializado",3.25,14.68,0,0.42,
5135,"Jugo de zanahoria, natural",7.7,30,0.11,0.7,
5136,Jugos naturales sin azucar adicionada naranja/zanahoria (promedio),9.84,42.5,0.17,0.82,
5137,Jugos o aguas de frutas con azucar adicionada (promedio),10.97,43.86,0.02,0.08,
5138,"Licuado (todos sabores), industrializado",12.51,68.42,1.32,1.62,
5139,"Licuado de cereales (avena, granola), preparacion estandarizada",15.19,110.93,3.74,3.69,
5140,"Licuado de fresa, preparacion estandarizada",9.73,70.77,2.54,2.56,
5141,"Licuado de frutas, preparacion estandarizada",13.35,78.08,2.11,2.33,
5142,"Licuado de mamey, preparacion estandarizada",10.49,71.96,2.36,2.32,
5143,"Licuado de mango, preparacion estandarizada",12.45,69.64,1.74,1.92,
5144,"Licuado de manzana, preparacion estandarizada",11.76,71.43,1.91,1.91,
5145,"Licuado de melon, preparacion estandarizada",9.85,74.78,2.77,2.76,
5146,"Licuado de nuez y coco, preparacion estandarizada",10.69,123.36,7.97,3.26,
5147,"Licuado de papaya, preparacion estandarizada",9.95,69.16,2.27,2.35,
5148,"Licuado de platano, preparacion estandarizada",13.35,78.08,2.11,2.33,
5149,"Licuado light (todos sabores), industrializado",21.58,96,0.39,3.68,
5150,Licuado promedio,10.59,80.25,3.24,2.87,
5151,"Malteada de vainilla, industrializada",10.24,66.76,1.6,2.85,
5152,"Malteada, preparacion estandarizada",12.55,133.9,6.25,3.01,
5153,"Naranjada/limonada, preparacion estandarizada",9.32,35.15,0.03,0.12,
5154,"Nectar de frutas, industrializado",14.27,56,0.16,0.13,
5155,Polvo para bebida con azucar (tipo tang),98.94,386,0,0,
5156,Polvo para bebida con edulcorante (tipo clight),19.88,82.99,0,0,
5157,Polvo para bebida sin endulzante (tipo clight),60.22,248.24,0,3.2,
5158,Polvo para caf? Capuchino y moka (con az?car),85.08,406.58,7.25,1.1,
5159,"Polvo para preparar bebida, promedio (con azucar, sin azucar y con edulcorante)",68.4,222.61,0.15,0.41,
5160,"Polvo para te, (tipo nestea, sin azucar)",91.52,368,0,0.32,
5161,"Ponche de frutas, industrializado",11.94,47,0,0,
5162,"Ponche de frutas, preparacion estandarizada",11.63,46.49,0.09,0.22,
5163,"Pozol (bebida), preparacion estandarizada",14.31,96.1,3.79,1.49,
5164,"Refresco de cola (coca-cola, pepsi, bigcola)",11.19,44.1,0,0,
5165,"Refresco de manzana, industrializado",11.1,44.4,0,0,
5166,"Refresco de sabor (naranja, toronja, etc.)",10.85,43.49,0,0.06,
5167,Refresco de sabor limon y lima,9.48,37.92,0,0,
5168,"Refresco light (todos los sabores, excepto cola)",0.25,0.95,0,0,
5169,Refresco naranja,12.3,48,0,0,
5170,Refresco sabor lima-limon,10.42,41,0,0.09,
5171,Refresco sabor uva,11.2,43,0,0,
5172,"Refresco, de cola light o de dieta",1.9,7.58,0,0,
5173,"Refresco, ginger ale",9.44,37.85,0,0,
5174,"Suero, preparacion estandarizada",1.32,5.29,0,0,
5175,"Te (infusion sin azucar), preparacion estandarizada",0,0.01,0,0,
5176,Te (promedio),0.2,1,0,0,
5177,"Te arizona (todos sabores) fluido, industrializado",11.34,45.95,0,0,
5178,"Te de manzanilla, infusion",0.2,1,0,0,
5179,"Te helado industrializado (tipo nestea, lipton)",7.91,31.51,0,0,
5180,"Te negro descafeinado, infusion",0.3,1,0,0,
5181,"Te negro, infusion",0.3,1,0,0,
5182,Te o cafe para adelgazar,44,176,0,0,
5183,"Te o infusion con azucar u otro endulzante (miel, piloncillo, etc, promedio)",4.2,16.48,0,0,
5184,"Te otros sabores excepto manzanilla, infusion",0.2,1,0,0,
5185,Aguardiente,0,211,0,0,
5186,Aguardiente (50% alcohol),0,295,0,0,
5187,"Bebida alcoholica con leche, (pina colada, alfonso xiii), preparacion estandarizada",21.59,143.31,2.76,2.68,
5188,"Bebida alcoholica sin leche (mojito, paloma, etc), preparacion estandarizada",10.28,69.49,0.04,0.16,
5189,Cerveza (alcohol 4.5%),3.55,43,0,0.46,
5190,Cerveza light (alcohol 4.0%),1.64,29,0,0.24,
5191,"Cerveza michelada, preparacion estandarizada",4.75,40.78,0.03,0.53,
5192,"Daiquiri , bebida alcoholica",6.94,186,0.06,0.06,
5193,Ginebra (45% alcohol),0,315,0,0,
5194,Licor de cafe (26.5% alcohol),46.8,336,0.3,0.1,
5195,"Piã£Â‘a colada, bebida alcoholica",22.66,174,1.88,0.42,
5196,Pulque,6.1,47,0,0.4,
5197,"Rompope casero, preparacion estandarizada",12.51,140.89,3.42,2.82,
5198,"Rompope, industrializado",8.05,88,4.19,4.55,
5199,Ron (40% alcohol),0,231,0,0,
5200,Sidra (rosada o blanca),11.3,46,0.13,0.1,
5201,"Tejuino (bebida de maiz fermentada), preparacion estandarizada",24.32,102.42,0.37,0.7,
5202,"Tepache (fermentado de pina), preparacion estandarizada",21.65,86.54,0,0,
5203,Tequila,0,231,0,0,
5204,Vino blanco o rosado,3.2,82.5,0,0.22,
5205,Vino tinto,2.61,85,0,0.07,
5206,Vodka (40% alcohol),0,231,0,0,
5207,Whisky (43% alcohol),0.1,250,0,0,
6000,Avestruz (promedio),0,115,1.96,22.86,
6001,"Carnero, cabeza cocida",0,111,5.6,14.2,
6002,"Carnero, carne grasosa",0,287,25,15.6,
6003,"Carnero, higado",2.9,141,5,21,
6004,"Carnero, magra con hueso",0,160,8.61,20.65,
6005,"Carnero, magra sin hueso",0,154,8.3,19.72,
6006,"Carnero, patas cocidas",0,103,2.1,21,
6007,"Carnero, semigrasosa",0,243,18.89,17.06,
6008,"Cerdo, carne cocida",0,211,10.5,27.69,
6009,"Cerdo, carne en canal",0,214,17.8,13.9,
6010,"Cerdo, carne magra (sin grasa ni hueso)",1,130,5.2,19.8,
6011,"Cerdo, carne molida",0,263,21.19,16.88,
6012,"Cerdo, carne promedio",0,180,12.6,16.7,
6013,"Cerdo, cecina",0.8,346,21,38.4,
6014,"Cerdo, chuleta ahumada",0,170,9.03,20.71,
6015,"Cerdo, costilla semigrasosa",0,286,23.6,18.5,
6016,"Cerdo, cueritos",0,217,14.01,25.03,
6017,"Cerdo, espaldilla",1.29,174,11.51,16.2,
6023,Chicharron de cerdo (con grasa),0,582,39.27,57.1,
6025,"Res, aguayon",0,129,5.3,20.4,
6026,"Res, agujas",0,153,7.9,20.4,
6027,"Res, carne cocida",0,235,13.44,27.06,
6028,"Res, carne grasosa con hueso",0,293,25.4,16,
6029,"Res, carne grasosa sin hueso",0,293,25.4,16,
6030,"Res, carne magra (sin grasa ni hueso)",0,140,6.3,20.9,
6031,"Res, carne molida especial",0,173,10,20.7,
6032,"Res, carne molida regular",0,262,21.2,17.9,
